Turkle.Username,Pilot.Data.Agreement,Pilot.Data.Average.Time,Entity.Typing.Agreement,Entity.Typing.Agreement.Median,Entity.Typing.Average.Time,Annotator.Score
asarkar9,0.5577507598784195,77,0.2961225581948867,0.31609624869227326,50,1768.3423594931871
asolant1,0.6238532110091743,62,0.3746766831535561,0.37408975444538517,82,1673.6996734448162
azhang48,0.6609281437125748,74,0.3258869741259865,0.342874922215308,132,1932.0110049726638
cbecraf3,0.6033434650455927,122,0.3548551889684604,0.37885530151910396,4347,1595.4519304597418
drodri33,0.5741626794258373,51,0.324218873915565,0.3401319736052789,113,1694.415762985667
dstraus6,0.6276595744680851,92,0.32986513391454164,0.33844534656442626,153,1858.12295384113
gvanatt1,0.5167173252279635,57,0.23744417828692388,0.24053060572159168,43,2152.4050919572173
ilopezv1,0.5501519756838906,112,0.3424063269650874,0.3585070710016037,104,1537.6210062677098
jecker8,0.6137724550898204,96,0.26528281772294804,0.27846948071667177,105,2206.855723219814
jgualla1,0.6625,80,0.34271203980897486,0.34219269102990035,53,1940.3275898180007
kkocian1,0.5820668693009119,98,0.34695525465637866,0.362423843240573,94,1609.5794770809819
mhumph18,0.5980243161094225,145,0.31634510639951247,0.3290390429867227,127,1819.669094561706
ohussei3,0.6405775075987842,201,0.3233941459254818,0.33396404919583733,122,1919.7121145748113
sarasha1,0.5389908256880734,103,0.14449721290966658,0.1350170648464165,269,3993.4229039294028
sparvat1,0.621580547112462,69,0.289975960398782,0.3091882247992864,100,2014.5654852720854
sroy31,0.5998376623376623,55,0.31121672373735393,0.3122121423586881,54,1926.9087543927722
zshane1,0.6355140186915887,65,No IAA for entity_typing,No Median IAA for entity_typing,No average time for entity_typing,No global score
